time,open,high,low,close,volume
2020-12-15 20:00:00,125.87,125.87,125.87,125.87,1000
2020-12-15 19:15:00,125.95,125.95,125.92,125.92,1591
2020-12-15 18:30:00,125.99,125.99,125.99,125.99,250
2020-12-15 17:45:00,125.98,125.98,125.68,125.98,2494
2020-12-15 17:00:00,125.93,125.98,125.93,125.98,4250
2020-12-15 16:45:00,125.93,125.93,125.89,125.89,622
2020-12-15 16:30:00,125.98,125.98,125.91,125.91,3190
2020-12-15 16:15:00,125.93,125.99,125.7,125.93,122754
2020-12-15 16:00:00,125.6589,125.93,125.51,125.93,394087
2020-12-15 15:45:00,125.535,125.75,125.535,125.66,174095
2020-12-15 15:30:00,125.78,125.87,125.52,125.54,161684
2020-12-15 15:15:00,125.515,125.8,125.505,125.78,156781
2020-12-15 15:00:00,125.71,125.75,125.5,125.52,101483
2020-12-15 14:45:00,125.54,125.73,125.5,125.7,127662
2020-12-15 14:30:00,125.67,125.72,125.51,125.52,97505
2020-12-15 14:15:00,125.5,125.71,125.435,125.6599,124264
2020-12-15 14:00:00,125.32,125.57,125.31,125.49,144143
2020-12-15 13:45:00,125.3,125.416,125.2945,125.3278,110093
2020-12-15 13:30:00,125.365,125.4572,125.24,125.27,136677
2020-12-15 13:15:00,125.21,125.41,125.12,125.35,94740
2020-12-15 13:00:00,124.81,125.19,124.79,125.19,127414
2020-12-15 12:45:00,124.63,124.82,124.57,124.8,66970
2020-12-15 12:30:00,124.5501,124.67,124.38,124.6432,59197
2020-12-15 12:15:00,124.4,124.6,124.3296,124.55,84637
2020-12-15 12:00:00,124.4018,124.5,124.27,124.41,63140
2020-12-15 11:45:00,124.19,124.41,124.1053,124.41,74130
2020-12-15 11:30:00,124.32,124.325,124.1,124.2,75663
2020-12-15 11:15:00,123.98,124.34,123.8,124.34,117011
2020-12-15 11:00:00,123.6,124.01,123.6,123.99,63044
2020-12-15 10:45:00,123.71,123.78,123.44,123.59,106505
2020-12-15 10:30:00,123.96,124.1922,123.7,123.73,132898
2020-12-15 10:15:00,123.78,124.1,123.62,123.99,97180
2020-12-15 10:00:00,124.35,124.35,123.68,123.76,98149
2020-12-15 09:45:00,124.39,124.52,123.95,124.38,265240
2020-12-15 09:15:00,124.15,124.15,124.15,124.15,184
2020-12-15 09:00:00,124.5,124.5,124.4,124.4,626
2020-12-15 08:30:00,124.5,124.5,124.5,124.5,1059
2020-12-14 18:30:00,123.75,123.75,123.6,123.6,694
2020-12-14 17:15:00,123.76,123.76,123.57,123.57,701
2020-12-14 17:00:00,123.74,123.76,123.74,123.76,311
2020-12-14 16:45:00,123.53,123.53,123.53,123.53,5848
2020-12-14 16:30:00,123.5424,123.5424,123.5424,123.5424,903
2020-12-14 16:15:00,123.53,125.095,123.53,123.97,260242
2020-12-14 16:00:00,123.85,124.05,123.47,123.53,435346
2020-12-14 15:45:00,124.15,124.15,123.84,123.8511,186004
2020-12-14 15:30:00,124.41,124.45,124.12,124.15,152231
2020-12-14 15:15:00,124.4,124.46,124.29,124.419,130471
2020-12-14 15:00:00,124.56,124.56,124.385,124.385,112043
2020-12-14 14:45:00,124.48,124.57,124.3,124.54,97771
2020-12-14 14:30:00,124.49,124.68,124.45,124.48,104042
2020-12-14 14:15:00,124.69,124.79,124.4574,124.47,89403
2020-12-14 14:00:00,124.9,124.93,124.65,124.68,79566
2020-12-14 13:45:00,124.8,125.0,124.784,124.91,57521
2020-12-14 13:30:00,124.9,124.93,124.79,124.79,86349
2020-12-14 13:15:00,125.01,125.1,124.75,124.936,70500
2020-12-14 13:00:00,125.05,125.09,124.82,124.98,78989
2020-12-14 12:45:00,125.32,125.32,125.05,125.068,82201
2020-12-14 12:30:00,125.26,125.36,125.08,125.32,59495
2020-12-14 12:15:00,125.255,125.3431,125.13,125.2601,53190
2020-12-14 12:00:00,125.34,125.4,125.22,125.2531,72362
2020-12-14 11:45:00,125.47,125.51,125.16,125.3299,76985
2020-12-14 11:30:00,125.775,125.82,125.37,125.4268,77509
2020-12-14 11:15:00,125.765,126.0,125.68,125.77,81741
2020-12-14 11:00:00,126.05,126.09,125.7191,125.78,131897
2020-12-14 10:45:00,126.09,126.24,125.92,126.02,116780
2020-12-14 10:30:00,125.925,126.17,125.6811,126.11,110345
2020-12-14 10:15:00,125.7,126.2435,125.7,125.93,147469
2020-12-14 10:00:00,125.705,125.78,125.35,125.66,118834
2020-12-14 09:45:00,125.32,125.82,124.96,125.72,297151
2020-12-14 09:30:00,125.01,125.26,125.01,125.26,1389
2020-12-14 09:15:00,124.93,124.93,124.93,124.93,509
2020-12-14 09:00:00,124.93,124.93,124.93,124.93,1425
2020-12-14 08:45:00,124.84,124.84,124.7,124.7,2257
2020-12-14 08:30:00,124.83,124.83,124.82,124.82,1200
2020-12-14 08:15:00,125.0,125.01,124.84,124.84,1060
2020-12-14 07:30:00,124.9,124.9,124.9,124.9,249
2020-12-14 07:15:00,124.98,125.0,124.8,124.9,2249
2020-12-11 19:45:00,124.15,124.15,124.15,124.15,200
2020-12-11 17:45:00,124.15,124.16,124.15,124.16,312
2020-12-11 17:30:00,124.29,124.29,124.28,124.28,1095
2020-12-11 16:30:00,124.2824,124.2824,124.27,124.27,5898
2020-12-11 16:15:00,124.27,124.35,124.27,124.35,118200
2020-12-11 16:00:00,124.79,124.81,124.24,124.27,433907
2020-12-11 15:45:00,124.82,124.89,124.72,124.785,114214
2020-12-11 15:30:00,124.9,125.12,124.8032,124.815,115295
2020-12-11 15:15:00,124.84,124.9,124.76,124.89,76794
2020-12-11 15:00:00,125.05,125.11,124.83,124.83,69706
2020-12-11 14:45:00,124.92,125.1,124.9148,125.05,72450
2020-12-11 14:30:00,124.97,125.08,124.81,124.92,63803
2020-12-11 14:15:00,125.0601,125.1,124.9,124.97,58546
2020-12-11 14:00:00,124.813,125.18,124.74,125.07,100348
2020-12-11 13:45:00,124.89,125.0,124.8,124.83,76401
2020-12-11 13:30:00,124.777,124.89,124.65,124.85,64136
2020-12-11 13:15:00,124.8134,124.87,124.59,124.777,61048
2020-12-11 13:00:00,124.77,124.9,124.6616,124.82,63560
2020-12-11 12:45:00,124.635,124.84,124.485,124.75,79365
2020-12-11 12:30:00,124.535,124.69,124.3301,124.66,65167
2020-12-11 12:15:00,124.73,124.76,124.51,124.535,78718
2020-12-11 12:00:00,124.61,124.79,124.57,124.71,118659
2020-12-11 11:45:00,124.74,124.865,124.55,124.64,109920
2020-12-11 11:30:00,125.24,125.3,124.75,124.75,100530
2020-12-11 11:15:00,125.16,125.271,124.95,125.255,135805
2020-12-11 11:00:00,125.3,125.51,125.16,125.16,165033
2020-12-11 10:45:00,124.76,125.33,124.7405,125.3,252124
2020-12-11 10:30:00,123.955,124.7759,123.95,124.735,258720
2020-12-11 10:15:00,124.1,124.38,123.9,123.97,133397
2020-12-11 10:00:00,124.19,124.305,123.61,124.09,167009
2020-12-11 09:45:00,124.08,124.59,123.96,124.12,344214
2020-12-11 09:30:00,124.0317,124.6,124.03,124.19,4503
2020-12-11 09:15:00,123.9,124.03,123.9,124.03,970
2020-12-11 09:00:00,124.0,124.0,123.9,123.9,368
2020-12-11 08:45:00,123.85,124.13,123.85,123.9,1153
2020-12-11 08:30:00,124.0201,124.0201,124.02,124.02,420
2020-12-11 08:15:00,124.0001,124.49,123.76,124.02,2324
2020-12-11 07:45:00,123.77,123.77,123.77,123.77,209
2020-12-11 07:30:00,123.99,124.2,123.91,123.91,522
2020-12-11 07:15:00,124.21,124.21,123.95,123.95,2562
2020-12-11 06:30:00,124.05,124.05,124.05,124.05,322
2020-12-11 06:00:00,124.35,124.35,124.35,124.35,475
2020-12-11 05:45:00,124.51,124.51,124.51,124.51,605
2020-12-11 04:15:00,124.62,124.62,124.62,124.62,400
2020-12-10 20:00:00,125.2,125.2,125.03,125.05,4210
2020-12-10 19:30:00,125.19,125.3,125.19,125.3,410
2020-12-10 19:00:00,125.01,125.01,125.0,125.0,375
2020-12-10 18:45:00,125.1,125.1,125.1,125.1,100
2020-12-10 18:00:00,124.93,125.02,124.93,125.02,752
2020-12-10 17:45:00,124.93,124.93,124.93,124.93,1505
2020-12-10 17:30:00,124.92,124.93,124.92,124.93,599
2020-12-10 17:00:00,124.92,124.93,124.92,124.93,1186
2020-12-10 16:45:00,124.92,124.93,124.92,124.93,731
2020-12-10 16:30:00,124.9725,124.9725,124.9725,124.9725,1631
2020-12-10 16:15:00,124.96,124.98,124.86,124.96,145993
2020-12-10 16:00:00,125.3,125.575,124.95,124.96,548000
2020-12-10 15:45:00,125.44,125.56,125.285,125.3011,150579
2020-12-10 15:30:00,125.255,125.51,125.22,125.41,125306
2020-12-10 15:15:00,125.2,125.35,125.18,125.25,108634
2020-12-10 15:00:00,125.18,125.5,125.07,125.2099,334761
2020-12-10 14:45:00,125.03,125.32,125.03,125.19,91244
2020-12-10 14:30:00,125.04,125.11,124.94,125.04,138987
2020-12-10 14:15:00,125.29,125.36,125.03,125.045,112198
2020-12-10 14:00:00,125.5,125.52,125.29,125.29,90535
2020-12-10 13:45:00,125.5,125.6038,125.39,125.51,70746
2020-12-10 13:30:00,125.56,125.6,125.45,125.4822,91501
2020-12-10 13:15:00,125.48,125.6,125.41,125.525,82558
2020-12-10 13:00:00,125.5,125.6,125.43,125.49,100758
2020-12-10 12:45:00,125.72,125.88,125.45,125.51,101105
2020-12-10 12:30:00,125.8893,125.92,125.64,125.7381,114883
2020-12-10 12:15:00,125.93,125.97,125.8,125.872,99454
2020-12-10 12:00:00,126.17,126.18,125.79,125.93,96487
2020-12-10 11:45:00,126.2808,126.31,126.04,126.18,181880
2020-12-10 11:30:00,126.21,126.4378,126.18,126.31,119945
2020-12-10 11:15:00,126.56,126.64,126.07,126.2,132862
2020-12-10 11:00:00,126.14,126.62,126.12,126.55,92959
2020-12-10 10:45:00,126.03,126.215,125.93,126.1655,104190
2020-12-10 10:30:00,126.03,126.07,125.75,126.03,113887
2020-12-10 10:15:00,126.4801,126.55,125.84,126.01,162326
2020-12-10 10:00:00,126.23,126.6037,125.96,126.49,205533
2020-12-10 09:45:00,126.35,126.93,125.8,126.19,558260
2020-12-10 09:15:00,126.49,126.5,126.18,126.25,925
2020-12-10 09:00:00,126.6,126.8,126.45,126.45,2413
2020-12-10 08:45:00,126.52,126.52,126.34,126.34,253
2020-12-10 08:30:00,126.43,126.43,126.43,126.43,100
2020-12-10 08:15:00,126.2803,126.2803,126.2803,126.2803,183
2020-12-10 07:45:00,126.71,126.71,126.7,126.7,908
2020-12-10 07:30:00,126.54,126.54,126.54,126.54,999
2020-12-10 07:15:00,126.55,126.55,126.12,126.54,1760
2020-12-09 20:00:00,126.86,126.86,126.86,126.86,101
2020-12-09 18:45:00,126.86,126.86,126.86,126.86,202
2020-12-09 18:15:00,126.85,126.85,126.85,126.85,214
2020-12-09 17:30:00,126.79,126.79,126.79,126.79,286
2020-12-09 17:00:00,126.79,126.79,126.79,126.79,100
2020-12-09 16:45:00,126.6,126.6,126.6,126.6,206
2020-12-09 16:30:00,126.79,126.79,126.6,126.6,600
2020-12-09 16:15:00,126.79,126.79,126.61,126.7773,240960
2020-12-09 16:00:00,126.61,126.9165,126.48,126.8,508761
2020-12-09 15:45:00,126.295,126.66,126.27,126.61,232074
2020-12-09 15:30:00,126.43,126.485,126.155,126.295,202775
2020-12-09 15:15:00,126.29,126.52,126.2015,126.44,133887
2020-12-09 15:00:00,126.03,126.32,126.01,126.29,116862
2020-12-09 14:45:00,126.36,126.36,125.92,126.02,150827
2020-12-09 14:30:00,125.9852,126.3878,125.9,126.3794,115735
2020-12-09 14:15:00,125.91,126.22,125.91,126.0,123656
2020-12-09 14:00:00,126.15,126.2,125.7,125.91,119242
2020-12-09 13:45:00,125.98,126.19,125.8614,126.1288,105819
2020-12-09 13:30:00,126.16,126.175,125.87,125.98,80005
2020-12-09 13:15:00,126.32,126.32,125.98,126.14,69638
2020-12-09 13:00:00,126.34,126.44,126.13,126.33,108473
2020-12-09 12:45:00,126.09,126.47,125.98,126.35,422051
2020-12-09 12:30:00,125.8846,126.15,125.79,126.12,128578
2020-12-09 12:15:00,125.84,125.95,125.75,125.87,231574
2020-12-09 12:00:00,125.905,125.95,125.7,125.83,118286
2020-12-09 11:45:00,126.03,126.03,125.78,125.91,136653
2020-12-09 11:30:00,126.38,126.39,125.93,126.04,137941
2020-12-09 11:15:00,126.29,126.44,126.07,126.39,98359
2020-12-09 11:00:00,126.48,126.53,126.2,126.29,158872
2020-12-09 10:45:00,126.68,126.71,126.4,126.4608,194505
2020-12-09 10:30:00,127.2916,127.69,126.615,126.67,188583
2020-12-09 10:15:00,127.485,127.57,127.1301,127.29,649505
2020-12-09 10:00:00,127.12,127.595,126.8,127.49,199802
2020-12-09 09:45:00,125.8,127.21,125.8,127.12,402488
2020-12-09 09:30:00,126.16,126.16,125.75,125.75,3864
2020-12-09 09:15:00,126.15,126.24,126.15,126.24,1143
2020-12-09 09:00:00,126.21,126.21,125.71,126.15,227158
2020-12-09 08:45:00,126.25,126.25,126.21,126.21,873
2020-12-09 08:30:00,126.24,126.24,126.24,126.24,162
2020-12-09 08:15:00,125.71,126.25,125.71,126.25,1612
2020-12-09 07:15:00,126.42,126.5,126.39,126.5,891
2020-12-08 18:30:00,125.9,125.9,125.9,125.9,175
2020-12-08 18:15:00,125.9,125.9,125.9,125.9,200
2020-12-08 18:00:00,125.88,125.89,125.8,125.8,602
2020-12-08 17:45:00,125.7,125.84,125.7,125.8,613
2020-12-08 17:15:00,125.42,125.42,125.42,125.42,200
2020-12-08 16:15:00,125.71,125.71,125.6974,125.71,633738
2020-12-08 16:00:00,125.49,125.72,125.36,125.71,391984
2020-12-08 15:45:00,125.84,125.8855,125.49,125.49,158309
2020-12-08 15:30:00,125.745,125.905,125.67,125.845,113760
2020-12-08 15:15:00,125.82,125.855,125.665,125.74,105249
2020-12-08 15:00:00,125.77,125.88,125.74,125.81,73042
2020-12-08 14:45:00,125.83,125.92,125.745,125.7651,112312
2020-12-08 14:30:00,125.93,126.02,125.84,125.84,125892
2020-12-08 14:15:00,126.02,126.02,125.775,125.935,96374
2020-12-08 14:00:00,126.03,126.05,125.917,126.03,116971
2020-12-08 13:45:00,125.9633,126.08,125.935,126.04,84741
2020-12-08 13:30:00,125.96,126.0006,125.83,125.9624,68871
2020-12-08 13:15:00,126.23,126.23,125.94,125.95,97701
2020-12-08 13:00:00,126.1318,126.29,126.06,126.225,110866
2020-12-08 12:45:00,126.2139,126.24,126.01,126.12,72672
2020-12-08 12:30:00,126.17,126.33,126.14,126.22,110548
2020-12-08 12:15:00,125.81,126.32,125.79,126.17,155031
2020-12-08 12:00:00,125.84,125.96,125.72,125.81,118031
2020-12-08 11:45:00,125.89,126.01,125.7948,125.8458,101781
2020-12-08 11:30:00,125.885,126.04,125.7645,125.85,127364
2020-12-08 11:15:00,125.81,126.2,125.81,125.89,219061
2020-12-08 11:00:00,125.69,125.84,125.55,125.8,98931
2020-12-08 10:45:00,125.79,125.925,125.63,125.7056,98645
2020-12-08 10:30:00,125.515,125.8,125.43,125.75,219297
2020-12-08 10:15:00,125.74,125.8,125.23,125.52,127923
2020-12-08 10:00:00,125.83,125.86,125.45,125.73,189875
2020-12-08 09:45:00,125.32,125.92,124.64,125.881,558130
2020-12-08 09:30:00,124.49,125.2,124.49,125.2,5479
2020-12-08 09:15:00,124.5,124.5,124.02,124.25,13356
2020-12-08 09:00:00,124.5,124.5,124.45,124.45,800
2020-12-08 08:15:00,124.41,124.7,124.3,124.3,2128
2020-12-08 08:00:00,124.4,124.4,124.4,124.4,150
2020-12-08 07:00:00,124.52,124.52,124.41,124.41,430
2020-12-08 04:15:00,124.87,124.87,124.87,124.87,200
2020-12-07 20:00:00,124.75,124.75,124.75,124.75,152
2020-12-07 19:30:00,124.61,125.08,124.61,125.08,1107
2020-12-07 19:15:00,124.7,124.7,124.65,124.66,1533
2020-12-07 19:00:00,124.71,125.0,124.7,125.0,1561
2020-12-07 18:00:00,124.7,124.7,124.7,124.7,255
2020-12-07 17:45:00,124.66,124.66,124.65,124.65,1000
2020-12-07 17:30:00,124.65,124.65,124.65,124.65,201
2020-12-07 17:15:00,124.99,124.99,124.99,124.99,19433
2020-12-07 17:00:00,124.7,124.7,124.57,124.57,4455
2020-12-07 16:45:00,124.72,124.95,124.7,124.7,1983
2020-12-07 16:30:00,124.72,124.72,124.72,124.72,444
2020-12-07 16:15:00,124.7,125.0,124.65,124.7125,629569
2020-12-07 16:00:00,124.68,125.03,124.57,124.7,713544
2020-12-07 15:45:00,125.01,125.03,124.64,124.69,268414
2020-12-07 15:30:00,124.95,125.06,124.9,124.995,173974
2020-12-07 15:15:00,125.025,125.025,124.8782,124.945,139538
2020-12-07 15:00:00,125.0611,125.17,124.995,125.025,360921
2020-12-07 14:45:00,125.01,125.106,124.97,125.06,112354
2020-12-07 14:30:00,125.215,125.23,124.95,125.01,191468
2020-12-07 14:15:00,125.38,125.4373,125.2129,125.2129,117620
2020-12-07 14:00:00,125.381,125.5,125.32,125.38,113629
2020-12-07 13:45:00,125.57,125.61,125.34,125.38,109957
2020-12-07 13:30:00,125.4501,125.71,125.41,125.58,113435
2020-12-07 13:15:00,125.59,125.64,125.4678,125.47,94482
2020-12-07 13:00:00,125.785,125.83,125.57,125.61,98899
2020-12-07 12:45:00,125.81,125.84,125.68,125.785,83653
2020-12-07 12:30:00,125.87,126.01,125.76,125.79,103498
2020-12-07 12:15:00,125.985,126.05,125.875,125.88,119689
2020-12-07 12:00:00,126.16,126.25,125.87,125.99,127192
2020-12-07 11:45:00,126.26,126.34,126.0882,126.145,107167
2020-12-07 11:30:00,126.23,126.32,126.08,126.27,105590
2020-12-07 11:15:00,126.24,126.3655,126.09,126.203,105227
2020-12-07 11:00:00,126.5,126.58,126.17,126.245,127699
2020-12-07 10:45:00,126.33,126.765,126.28,126.56,115443
2020-12-07 10:30:00,126.46,126.61,126.28,126.34,115318
2020-12-07 10:15:00,126.39,126.53,126.04,126.45,178905
2020-12-07 10:00:00,126.04,126.39,125.85,126.39,159844
2020-12-07 09:45:00,126.49,126.97,125.43,126.0082,492014
2020-12-07 09:30:00,126.5,126.5,126.5,126.5,388
2020-12-07 09:15:00,126.48,126.73,126.46,126.5,1333
2020-12-07 08:45:00,126.5,126.5,126.14,126.3,730
2020-12-07 08:30:00,126.75,126.75,126.5,126.5,230
2020-12-07 08:15:00,126.673,126.673,126.673,126.673,684
2020-12-07 08:00:00,126.66,126.66,126.66,126.66,200
